X1,X2
Night two airtime,Night two airtime
Candidate,Airtime (min.)[57]
Biden,13.6
Harris,11.9
Sanders,11.0
Buttigieg,10.5
Bennet,8.1
Gillibrand,7.5
Hickenlooper,5.2
Williamson,5.0
Swalwell,4.3
Yang,3.0
