candidate,airtime_night2
Biden,13.6
Harris,11.9
Sanders,11
Buttigieg,10.5
Bennet,8.1
Gillibrand,7.5
Hickenlooper,5.2
Williamson,5
Swalwell,4.3
Yang,3
