candidate,airtime_night1
Booker,10.9
O'Rourke,10.3
Warren,9.3
Castro,8.8
Klobuchar,8.5
Ryan,7.7
Gabbard,6.6
Delaney,6.6
de Blasio,5.6
Inslee,5
