candidates,poll_perc,poll_count
Warren,0.163,23
O'Rourke,0.10300000000000001,23
Booker,0.04,23
Klobuchar,0.037000000000000005,23
Castro,0.02,16
Gabbard,0.013000000000000001,11
Ryan,0.013000000000000001,9
Inslee,0.01,9
de Blasio,0.01,6
Delaney,0.01,5
